gross,taxfree,notaxfree
1.00,0,0
2.00,0,0
3.00,0,1
4.00,0,1
5.00,0,1
6.00,0,1
7.00,0,1
8.00,0,2
9.00,0,2
10.00,0,2
11.00,0,2
12.00,0,2
13.00,0,2
14.00,0,3
15.00,0,3
16.00,0,3
17.00,0,3
18.00,0,3
19.00,0,4
20.00,0,4
21.00,0,4
22.00,0,4
23.00,0,4
24.00,0,5
25.00,0,5
26.00,0,5
27.00,0,5
28.00,0,5
29.00,0,6
30.00,0,6
31.00,0,6
32.00,0,6
33.00,0,6
34.00,0,6
35.00,0,7
36.00,0,7
37.00,0,7
38.00,0,7
39.00,0,7
40.00,0,8
41.00,0,8
42.00,0,8
43.00,0,8
44.00,0,8
45.00,0,9
46.00,0,9
47.00,0,9
48.00,0,9
49.00,0,10
50.00,0,10
51.00,0,10
52.00,0,10
53.00,0,11
54.00,0,11
55.00,0,11
56.00,0,11
57.00,0,11
58.00,0,12
59.00,0,12
60.00,0,12
61.00,0,12
62.00,0,13
63.00,0,13
64.00,0,13
65.00,0,13
66.00,0,13
67.00,0,14
68.00,0,14
69.00,0,14
70.00,0,14
71.00,0,15
72.00,0,15
73.00,0,15
74.00,0,15
75.00,0,15
76.00,0,16
77.00,0,16
78.00,0,16
79.00,0,16
80.00,0,17
81.00,0,17
82.00,0,17
83.00,0,17
84.00,0,17
85.00,0,18
86.00,0,18
87.00,0,18
88.00,0,18
89.00,0,19
90.00,0,19
91.00,0,19
92.00,0,19
93.00,0,19
94.00,0,20
95.00,0,20
96.00,0,20
97.00,0,20
98.00,0,21
99.00,0,21
100.00,0,21
101.00,0,21
102.00,0,21
103.00,0,22
104.00,0,22
105.00,0,22
106.00,0,22
107.00,0,23
108.00,0,23
109.00,0,23
110.00,0,23
111.00,0,23
112.00,0,24
113.00,0,24
114.00,0,24
115.00,0,24
116.00,0,25
117.00,0,25
118.00,0,25
119.00,0,25
120.00,0,25
121.00,0,26
122.00,0,26
123.00,0,26
124.00,0,26
125.00,0,26
126.00,0,27
127.00,0,27
128.00,0,27
129.00,0,27
130.00,0,28
131.00,0,28
